"uuid:ID","maxValue","instanceType","minValue","id","isApproximate"
"f102c763-1e9d-4520-80d3-04d96285e6dc","300.0","Range","300.0","Range_2","False"
"37d96fa3-d5fc-4451-b483-ca7b0b172d15","300.0","Range","300.0","Range_1","False"
"88a861df-3c2c-4f3b-9255-d8a66f9a4ac4","100.0","Range","50.0","Range_3","False"
