"uuid:ID","isRequired","datatype","instanceType","isEnabled","name","id","label"
"a5e390a6-d215-424b-a91a-d678ce551e6f","True","text","BiomedicalConceptProperty","True","DSDECOD","BiomedicalConceptProperty_116","DSDECOD"
"2d3b28c0-010b-474c-bc9f-cc522c15fa22","True","text","BiomedicalConceptProperty","True","DSTERM","BiomedicalConceptProperty_117","DSTERM"
"b9119dbe-3241-4ddb-b084-30926c41d2fd","True","datetime","BiomedicalConceptProperty","True","DSSTDTC","BiomedicalConceptProperty_118","DSSTDTC"
"71279718-dbd3-4ef4-9306-0751769aa172","True","string","BiomedicalConceptProperty","True","Sex","BiomedicalConceptProperty_119","Sex"
"928e0e8b-5ea9-4ac4-9a89-0f0310ae6173","True","string","BiomedicalConceptProperty","True","Race","BiomedicalConceptProperty_120","Race"
"e6627593-6d69-4694-938e-3763b362bee1","True","","BiomedicalConceptProperty","True","VSTESTCD","BiomedicalConceptProperty_121","VSTESTCD"
"b4522361-0738-452c-b358-62f2d547bc53","True","float","BiomedicalConceptProperty","True","VSORRES","BiomedicalConceptProperty_122","VSORRES"
"2a035c4a-5de4-4cb0-9349-71051c2d275e","True","","BiomedicalConceptProperty","True","VSORRESU","BiomedicalConceptProperty_123","VSORRESU"
"00677f2e-d7a4-4e55-9935-b7b92dbe5e39","True","","BiomedicalConceptProperty","True","VSLOC","BiomedicalConceptProperty_124","VSLOC"
"2691dd1b-c309-4c5d-8aa3-9355474efe21","True","","BiomedicalConceptProperty","True","VSTESTCD","BiomedicalConceptProperty_125","VSTESTCD"
"f1cd2442-296d-4542-ae6f-76c898ebd0da","True","float","BiomedicalConceptProperty","True","VSORRES","BiomedicalConceptProperty_126","VSORRES"
"ba7c2a12-b32f-4f5d-8c26-1b8b70beb3e4","True","","BiomedicalConceptProperty","True","VSORRESU","BiomedicalConceptProperty_127","VSORRESU"
"22815ae3-e587-4b97-a700-5b20b26daf0c","True","","BiomedicalConceptProperty","True","VSTESTCD","BiomedicalConceptProperty_128","VSTESTCD"
"6f1c3b70-7e75-4b34-88cc-dc0bf2bc2d28","True","float","BiomedicalConceptProperty","True","VSORRES","BiomedicalConceptProperty_129","VSORRES"
"fd3f82b0-0d33-4442-91b1-1f4b403c39a0","True","","BiomedicalConceptProperty","True","VSORRESU","BiomedicalConceptProperty_130","VSORRESU"
"6dbeff19-c0be-4059-af9d-6bc6f8c5cec5","True","","BiomedicalConceptProperty","True","LBTESTCD","BiomedicalConceptProperty_131","LBTESTCD"
"c128bc3e-06c2-42fe-9a22-cc39c75e426e","True","float","BiomedicalConceptProperty","True","LBORRES","BiomedicalConceptProperty_132","LBORRES"
"d2679310-c687-4bd9-b2e7-cc0929dc2322","True","","BiomedicalConceptProperty","True","LBORRESU","BiomedicalConceptProperty_133","LBORRESU"
"3f7b95a0-4982-40e3-8d81-fc063ccd450f","True","","BiomedicalConceptProperty","True","LBSPEC","BiomedicalConceptProperty_134","LBSPEC"
"75b72b58-0bbe-4ac3-bd56-4a2d55c8caaf","True","","BiomedicalConceptProperty","True","LBFAST","BiomedicalConceptProperty_135","LBFAST"
"17c55e22-5470-41de-8453-471b72b4fec5","True","","BiomedicalConceptProperty","True","LBTESTCD","BiomedicalConceptProperty_136","LBTESTCD"
"657bb51f-0e67-489e-92ec-80646535f0ca","True","text","BiomedicalConceptProperty","True","LBORRES","BiomedicalConceptProperty_137","LBORRES"
"88ffab9d-be8c-4efd-8e76-45769431768a","True","","BiomedicalConceptProperty","True","LBSPEC","BiomedicalConceptProperty_138","LBSPEC"
"5766273f-b703-4eeb-bf2f-397b1318ab9b","True","","BiomedicalConceptProperty","True","LBFAST","BiomedicalConceptProperty_139","LBFAST"
"298fad09-c8a6-46d0-9dba-7d326e0e40b2","True","","BiomedicalConceptProperty","True","LBTESTCD","BiomedicalConceptProperty_140","LBTESTCD"
"56f24117-ec3f-4e7e-9895-9a13999a0bc3","True","float","BiomedicalConceptProperty","True","LBORRES","BiomedicalConceptProperty_141","LBORRES"
"f4f4a028-6aa5-401a-8eed-3de955e6cadd","True","","BiomedicalConceptProperty","True","LBORRESU","BiomedicalConceptProperty_142","LBORRESU"
"0440b10b-fb4e-491f-8637-aa209093535b","True","","BiomedicalConceptProperty","True","LBSPEC","BiomedicalConceptProperty_143","LBSPEC"
"aa315350-3a42-4b23-8a48-35d6afb03824","True","","BiomedicalConceptProperty","True","LBFAST","BiomedicalConceptProperty_144","LBFAST"
"1b8d74cf-c19e-4e84-9e09-96c915eb5b57","True","","BiomedicalConceptProperty","True","LBTESTCD","BiomedicalConceptProperty_145","LBTESTCD"
"241bbfbf-5d49-4bc3-ba30-e12f08024302","True","float","BiomedicalConceptProperty","True","LBORRES","BiomedicalConceptProperty_146","LBORRES"
"ce215a04-751c-46cb-bd71-06ee03272a40","True","","BiomedicalConceptProperty","True","LBORRESU","BiomedicalConceptProperty_147","LBORRESU"
"fc4662e1-ee4b-41a8-9530-f6a205d39bff","True","","BiomedicalConceptProperty","True","LBSPEC","BiomedicalConceptProperty_148","LBSPEC"
"3b9fe5e2-b36a-4e55-b439-1a2259bef128","True","","BiomedicalConceptProperty","True","LBFAST","BiomedicalConceptProperty_149","LBFAST"
"26f85627-d5f9-4731-9eff-2d9b19583fea","True","","BiomedicalConceptProperty","True","LBTESTCD","BiomedicalConceptProperty_150","LBTESTCD"
"91ec540b-c625-4b01-9f8c-88a50f55a752","True","float","BiomedicalConceptProperty","True","LBORRES","BiomedicalConceptProperty_151","LBORRES"
"7e46caba-f9b8-47ac-9731-eae39e31ff49","True","","BiomedicalConceptProperty","True","LBORRESU","BiomedicalConceptProperty_152","LBORRESU"
