"uuid:ID","dateValue","description","instanceType","name","id","label"
"ac3d3499-ebc1-4616-8d9b-29396972f0b8","2006-06-01","Design approval date","GovernanceDate","D_APPROVE","GovernanceDate_1","Design Approval"
"7897af0f-7555-441f-b514-5d05e3c9b1ba","2006-07-01","Protocol document approval date","GovernanceDate","P_APPROVE","GovernanceDate_2","Protocol Approval"
