"uuid:ID","description","instanceType","name","id","label"
"08863c46-807e-416e-b3a3-ab83601000f4","Dictionary for IE","SyntaxTemplateDictionary","IE_Dict","SyntaxTemplateDictionary_1","IE Dictionary"
"8e3b52ce-cde4-4836-b8b1-a9edf2a38fab","Dictionary for Study Assessments","SyntaxTemplateDictionary","AS_Dict","SyntaxTemplateDictionary_2","Assessment Dictionary"
