"label","description","uuid:ID","id","instanceType","dateValue","name"
"Design Approval","Design approval date","91fc15c7-c905-4f1b-9193-c3eb3dfcabfe","GovernanceDate_1","GovernanceDate","2006-06-01","D_APPROVE"
"Protocol Approval","Protocol document approval date","df5a0098-a446-4094-b12c-fe27d0a893af","GovernanceDate_2","GovernanceDate","2006-07-01","P_APPROVE"
