"isApproximate","uuid:ID","id","instanceType","maxValue","minValue"
"False","d0f2ba5d-d740-4fe0-838c-f049bb2664bf","Range_2","Range","300.0","300.0"
"False","811f9e5f-ef0d-4084-b161-fabc2c16f7b9","Range_1","Range","300.0","300.0"
"False","4fc756ef-75f8-494f-9a35-6561d3b76d10","Range_3","Range","100.0","50.0"
