"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","72ab5eb4-086a-467b-bdd8-7a14d6d8f504","StudyAmendmentReason_1",""
"StudyAmendmentReason","b1a0576b-1029-448a-9a18-020de9537025","StudyAmendmentReason_2","Fix typographical errors"
