"description","id","instanceType","uuid:ID","label","name"
"Dictionary for IE","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","a85ae009-5eca-4599-ac98-11881038f576","IE Dictionary","IE_Dict"
"Dictionary for Study Assessments","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","3c9b6b07-b2ae-4722-ac56-53a8cc3a1e9d","Assessment Dictionary","AS_Dict"
