"maxValue","isApproximate","minValue","id","instanceType","uuid:ID"
"300.0","False","300.0","Range_2","Range","03fdd168-db1e-45e7-8bd4-39bab3d82132"
"300.0","False","300.0","Range_1","Range","93415fe6-c9d3-4e15-b8b1-fbadff881c15"
"100.0","False","50.0","Range_3","Range","2fa467b0-2091-474f-8e8d-959cf290f152"
