"isRequired","datatype","id","instanceType","uuid:ID","isEnabled","label","name"
"True","text","BiomedicalConceptProperty_116","BiomedicalConceptProperty","40a76feb-7e5d-4672-8b77-bce7baf71586","True","DSDECOD","DSDECOD"
"True","text","BiomedicalConceptProperty_117","BiomedicalConceptProperty","33f6368d-1f77-4bf6-9143-36ea13939f43","True","DSTERM","DSTERM"
"True","datetime","BiomedicalConceptProperty_118","BiomedicalConceptProperty","262f62f9-6bf7-4fb1-9d86-857d725d7425","True","DSSTDTC","DSSTDTC"
"True","string","BiomedicalConceptProperty_119","BiomedicalConceptProperty","f6b258e2-3cfa-4cc6-bc40-c79e1c521872","True","Sex","Sex"
"True","string","BiomedicalConceptProperty_120","BiomedicalConceptProperty","b51273e2-64ec-4c93-aee0-bb4171374dc8","True","Race","Race"
"True","","BiomedicalConceptProperty_121","BiomedicalConceptProperty","c3729049-22b2-42b9-b334-99adf73a80ea","True","VSTESTCD","VSTESTCD"
"True","float","BiomedicalConceptProperty_122","BiomedicalConceptProperty","6887a52c-fadb-4ddc-a5e2-0b42ab3aa43c","True","VSORRES","VSORRES"
"True","","BiomedicalConceptProperty_123","BiomedicalConceptProperty","679cc0c3-076d-484e-8d13-1c381e655f8c","True","VSORRESU","VSORRESU"
"True","","BiomedicalConceptProperty_124","BiomedicalConceptProperty","cde56a8f-bfe1-4a61-b711-7bf1dbcd7ea2","True","VSLOC","VSLOC"
"True","","BiomedicalConceptProperty_125","BiomedicalConceptProperty","7a9360b3-671c-4f7d-8676-c97bca523e91","True","VSTESTCD","VSTESTCD"
"True","float","BiomedicalConceptProperty_126","BiomedicalConceptProperty","cd58ba9c-8165-4662-9d83-fb5448abb9aa","True","VSORRES","VSORRES"
"True","","BiomedicalConceptProperty_127","BiomedicalConceptProperty","de6728d7-1cfb-4ceb-aba4-e58c71bdf9cf","True","VSORRESU","VSORRESU"
"True","","BiomedicalConceptProperty_128","BiomedicalConceptProperty","4521d2d9-2afe-4ce3-8d7c-b4910dc7cf7b","True","VSTESTCD","VSTESTCD"
"True","float","BiomedicalConceptProperty_129","BiomedicalConceptProperty","cec07a61-5561-4c89-8c21-9c64053989a0","True","VSORRES","VSORRES"
"True","","BiomedicalConceptProperty_130","BiomedicalConceptProperty","1cfbef29-bf6d-4a94-b6d9-5b82b46a441e","True","VSORRESU","VSORRESU"
"True","","BiomedicalConceptProperty_131","BiomedicalConceptProperty","fcd3daea-62e8-476a-b906-a020e767b9ab","True","LBTESTCD","LBTESTCD"
"True","float","BiomedicalConceptProperty_132","BiomedicalConceptProperty","84ad42d9-d715-45d2-8784-82bc76f271ab","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_133","BiomedicalConceptProperty","7661bce7-eb5e-4cc9-be5d-f9ad39db00a3","True","LBORRESU","LBORRESU"
"True","","BiomedicalConceptProperty_134","BiomedicalConceptProperty","4e3dc5fe-0412-4827-85ef-a79f490bf605","True","LBSPEC","LBSPEC"
"True","","BiomedicalConceptProperty_135","BiomedicalConceptProperty","6dadf53a-dc1a-4882-b8c3-3c0182e231d5","True","LBFAST","LBFAST"
"True","","BiomedicalConceptProperty_136","BiomedicalConceptProperty","e7211aa0-8573-4f5f-9954-94b34447d96b","True","LBTESTCD","LBTESTCD"
"True","text","BiomedicalConceptProperty_137","BiomedicalConceptProperty","0f99f8e4-86ee-4f12-9c4b-efdf55b8682f","True","LBORRES","LBORRES"
"True","","BiomedicalConceptProperty_138","BiomedicalConceptProperty","cf8f1592-03e4-4d63-a376-066a881cbb60","True","LBSPEC","LBSPEC"
