"otherReason","instanceType","uuid:ID","id"
"","StudyAmendmentReason","76b5d206-d4bc-4089-a19a-15d022df5b53","StudyAmendmentReason_1"
"Fix typographical errors","StudyAmendmentReason","10c15ce2-f00b-4730-9770-c3e2ec57eae6","StudyAmendmentReason_2"
