"dateValue","uuid:ID","name","id","description","instanceType","label"
"2006-06-01","163e0bfb-1b7b-454b-9824-50208ee0a108","D_APPROVE","GovernanceDate_1","Design approval date","GovernanceDate","Design Approval"
"2006-07-01","1fb20412-f90d-41ea-a0b8-9dc4d2a7a9be","P_APPROVE","GovernanceDate_2","Protocol document approval date","GovernanceDate","Protocol Approval"
