"dateValue","instanceType","name","description","label","uuid:ID","id"
"2006-06-01","GovernanceDate","D_APPROVE","Design approval date","Design Approval","c11c720f-8720-41f0-a614-65ff13fbd6eb","GovernanceDate_1"
"2006-07-01","GovernanceDate","P_APPROVE","Protocol document approval date","Protocol Approval","c3ab5f8b-e3e8-4f92-b702-cf733ec5fcdd","GovernanceDate_2"
