"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","01f9bae9-f743-4753-b604-ac675392421f","StudyAmendmentReason_1",""
"StudyAmendmentReason","86212cfd-7fae-48e7-ae38-e4a7378bdd68","StudyAmendmentReason_2","Fix typographical errors"
