"instanceType","name","description","label","uuid:ID","id"
"SyntaxTemplateDictionary","IE_Dict","Dictionary for IE","IE Dictionary","27f3c7bf-e8e8-459f-b643-dfffc907402a","SyntaxTemplateDictionary_1"
"SyntaxTemplateDictionary","AS_Dict","Dictionary for Study Assessments","Assessment Dictionary","cd6bdedc-5faa-4bec-980c-aecf70d5a5f6","SyntaxTemplateDictionary_2"
