"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","f7437600-c034-45ff-b6c0-e84a9f3ce812"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","e0a782eb-e05a-4124-8806-d3952fc2d49c"
