"description","label","id","dateValue","uuid:ID","name","instanceType"
"Design approval date","Design Approval","GovernanceDate_1","2006-06-01","3700e62f-f2ee-4680-a80b-250f18b0dea7","D_APPROVE","GovernanceDate"
"Protocol document approval date","Protocol Approval","GovernanceDate_2","2006-07-01","98d579bc-fe51-447d-a0e3-6e37fbaece86","P_APPROVE","GovernanceDate"
