"uuid:ID","id","instanceType"
"462430b6-a20a-4145-8ff2-900962d3688e","StudyCell_1","StudyCell"
"4dfd935f-eb6a-40c2-a5f5-bfee321a0066","StudyCell_2","StudyCell"
"70de9faf-0e08-4e88-8e74-a35e8425e9eb","StudyCell_3","StudyCell"
"c1f23c6f-21e3-4e09-8097-c839ef18b6b9","StudyCell_4","StudyCell"
"c8adaa3f-c293-479a-af39-8cb544d8be57","StudyCell_5","StudyCell"
"2eae1c00-61b9-497b-91e7-26bd2204cdc3","StudyCell_6","StudyCell"
"a2b941d7-0b6b-4d58-8bb5-e991ea3eddca","StudyCell_7","StudyCell"
"522b5ce3-d345-44c1-87a7-e405a49fbb58","StudyCell_8","StudyCell"
"deea322a-63cb-4229-899c-41657f153e5f","StudyCell_9","StudyCell"
"7d8d9036-3ace-4c66-ac61-32e15c358816","StudyCell_10","StudyCell"
"7306e845-9562-4fa5-a7c8-4a6f4958ac6c","StudyCell_11","StudyCell"
"22a9a25f-100b-48fa-8dd2-b36adec7324b","StudyCell_12","StudyCell"
"334ad561-4024-4621-883a-43958268d38d","StudyCell_13","StudyCell"
"6f8035b2-f68b-4daf-8a76-3542a61e06fe","StudyCell_14","StudyCell"
"44b82b5d-f042-4085-8604-c6a92f82c160","StudyCell_15","StudyCell"
