"minValue","isApproximate","id","maxValue","uuid:ID","instanceType"
"300.0","False","Range_2","300.0","02aa7e8f-c914-42d5-8d16-ebf968f7ba35","Range"
"300.0","False","Range_1","300.0","93d87e57-1fc7-4cba-8404-3ec170fc2c47","Range"
"50.0","False","Range_3","100.0","97fb1b73-2059-4e85-ae9d-6840fb57e15b","Range"
