"uuid:ID","id","otherReason","instanceType"
"43542636-0c76-426f-8f3a-9a8e68ef154f","StudyAmendmentReason_1","","StudyAmendmentReason"
"fc12ed4f-f283-4a31-82e4-45431575250f","StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason"
