"id","instanceType","otherReason","uuid:ID"
"StudyAmendmentReason_1","StudyAmendmentReason","","ab23e6e9-0edd-4018-a7f1-dbed0f9d3d9c"
"StudyAmendmentReason_2","StudyAmendmentReason","Fix typographical errors","775d99fb-20e1-4874-b863-4c63e28a0341"
