"instanceType","name","uuid:ID","label","isRequired","datatype","id","isEnabled"
"BiomedicalConceptProperty","DSDECOD","1ea44594-6a0b-4648-8f64-f819adc84adf","DSDECOD","True","text","BiomedicalConceptProperty_116","True"
"BiomedicalConceptProperty","DSTERM","a0f512bd-3196-408b-9a20-48d05380213c","DSTERM","True","text","BiomedicalConceptProperty_117","True"
"BiomedicalConceptProperty","DSSTDTC","dacd7b36-203a-4312-ba8e-67ff45658a02","DSSTDTC","True","datetime","BiomedicalConceptProperty_118","True"
"BiomedicalConceptProperty","Sex","4484abc2-5f3b-428e-bcd5-eebe26695197","Sex","True","string","BiomedicalConceptProperty_119","True"
"BiomedicalConceptProperty","Race","ae0bcf19-8592-4e4f-b0ee-935e5bfe0262","Race","True","string","BiomedicalConceptProperty_120","True"
"BiomedicalConceptProperty","VSTESTCD","b0bcd06f-b5f8-4447-b1ee-5c9aacaca5a6","VSTESTCD","True","","BiomedicalConceptProperty_121","True"
"BiomedicalConceptProperty","VSORRES","c08c7b0b-a488-4cc6-a8b2-072e5ae1068b","VSORRES","True","float","BiomedicalConceptProperty_122","True"
"BiomedicalConceptProperty","VSORRESU","320af0f1-ea5a-4053-8147-1d1e2f1965dd","VSORRESU","True","","BiomedicalConceptProperty_123","True"
"BiomedicalConceptProperty","VSLOC","47f696dc-3293-44a4-b2ce-a34ba10ff4ae","VSLOC","True","","BiomedicalConceptProperty_124","True"
"BiomedicalConceptProperty","VSTESTCD","6e8e8c33-8dfc-48be-ac52-775ecca1b1ca","VSTESTCD","True","","BiomedicalConceptProperty_125","True"
"BiomedicalConceptProperty","VSORRES","0eb8b9ad-7d42-4f46-9d3d-3d14ea3b0e2a","VSORRES","True","float","BiomedicalConceptProperty_126","True"
"BiomedicalConceptProperty","VSORRESU","c86700da-c9a9-4ea8-a1f9-f6f6898f18f3","VSORRESU","True","","BiomedicalConceptProperty_127","True"
"BiomedicalConceptProperty","VSTESTCD","a8359ad2-017a-4801-ac8d-7285140f461e","VSTESTCD","True","","BiomedicalConceptProperty_128","True"
"BiomedicalConceptProperty","VSORRES","f798f550-3e41-48b1-9616-16d4d3a762a5","VSORRES","True","float","BiomedicalConceptProperty_129","True"
"BiomedicalConceptProperty","VSORRESU","13af5691-087b-49fc-a40a-641d4580e6be","VSORRESU","True","","BiomedicalConceptProperty_130","True"
"BiomedicalConceptProperty","LBTESTCD","30fb6758-70b0-47b4-86bf-7076f78978cc","LBTESTCD","True","","BiomedicalConceptProperty_131","True"
"BiomedicalConceptProperty","LBORRES","ec870683-3814-4b17-8096-53837b50d87f","LBORRES","True","float","BiomedicalConceptProperty_132","True"
"BiomedicalConceptProperty","LBORRESU","5c68b7c4-e068-43f7-8b8d-90ea10223f11","LBORRESU","True","","BiomedicalConceptProperty_133","True"
"BiomedicalConceptProperty","LBSPEC","512ce0c3-d871-47c0-bc10-3a5d08e238f6","LBSPEC","True","","BiomedicalConceptProperty_134","True"
"BiomedicalConceptProperty","LBFAST","b71392a5-308e-41f2-98f7-fc79ff202dff","LBFAST","True","","BiomedicalConceptProperty_135","True"
"BiomedicalConceptProperty","LBTESTCD","a84f5008-3a5e-4089-a690-c0ddc453d2b7","LBTESTCD","True","","BiomedicalConceptProperty_136","True"
"BiomedicalConceptProperty","LBORRES","90bf49b9-5bb6-43c5-9e8a-8c529185aaac","LBORRES","True","text","BiomedicalConceptProperty_137","True"
"BiomedicalConceptProperty","LBSPEC","01dad6c3-53e4-48f5-9459-d7756dfae0df","LBSPEC","True","","BiomedicalConceptProperty_138","True"
"BiomedicalConceptProperty","LBFAST","eb651d42-9662-4a3e-a20b-7f5c16f81743","LBFAST","True","","BiomedicalConceptProperty_139","True"
"BiomedicalConceptProperty","LBTESTCD","0196ffd7-9292-43c9-b82b-3fecd3d1a831","LBTESTCD","True","","BiomedicalConceptProperty_140","True"
"BiomedicalConceptProperty","LBORRES","b6bea809-16da-4882-acf1-4539ddbf7a09","LBORRES","True","float","BiomedicalConceptProperty_141","True"
"BiomedicalConceptProperty","LBORRESU","e36ace11-d147-46c0-b0dc-461e3673fe34","LBORRESU","True","","BiomedicalConceptProperty_142","True"
"BiomedicalConceptProperty","LBSPEC","07ef1f6b-bcbc-4c7c-9a05-1e420b2899c8","LBSPEC","True","","BiomedicalConceptProperty_143","True"
"BiomedicalConceptProperty","LBFAST","1b92e236-baec-42dc-9415-4478541dad73","LBFAST","True","","BiomedicalConceptProperty_144","True"
"BiomedicalConceptProperty","LBTESTCD","46fbc6e8-b092-4459-b878-239ab001d70a","LBTESTCD","True","","BiomedicalConceptProperty_145","True"
"BiomedicalConceptProperty","LBORRES","1ffa178e-dbff-4b93-86e8-3090f0be326b","LBORRES","True","float","BiomedicalConceptProperty_146","True"
"BiomedicalConceptProperty","LBORRESU","b462f6d2-7753-4a6e-a158-3b269f4b04db","LBORRESU","True","","BiomedicalConceptProperty_147","True"
"BiomedicalConceptProperty","LBSPEC","eca87d88-4c2b-4058-b273-557b0201be57","LBSPEC","True","","BiomedicalConceptProperty_148","True"
"BiomedicalConceptProperty","LBFAST","81e754f4-25ec-45cd-9c38-09f955c3f5ee","LBFAST","True","","BiomedicalConceptProperty_149","True"
"BiomedicalConceptProperty","LBTESTCD","109956b1-7ec1-44f2-a579-ff246b8c5cfd","LBTESTCD","True","","BiomedicalConceptProperty_150","True"
"BiomedicalConceptProperty","LBORRES","e5426a74-5424-4474-b241-3e405529fef4","LBORRES","True","float","BiomedicalConceptProperty_151","True"
