"description","instanceType","name","uuid:ID","label","id"
"Dictionary for IE","SyntaxTemplateDictionary","IE_Dict","e43ead92-1aa1-4c9e-b9f2-0989a20bbd02","IE Dictionary","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","SyntaxTemplateDictionary","AS_Dict","472c34b6-aa27-4c62-9b75-5874a10e7d04","Assessment Dictionary","SyntaxTemplateDictionary_2"
