"id","maxValue","uuid:ID","instanceType","isApproximate","minValue"
"Range_2","300.0","781fdd02-681c-4f58-9898-82fe3c4e67eb","Range","False","300.0"
"Range_1","300.0","40b39b0d-822a-43f8-9fbe-dfda18da4bd5","Range","False","300.0"
"Range_3","100.0","77c690fc-4ed5-4741-b195-a74034a6f010","Range","False","50.0"
