"id","name","description","label","uuid:ID","instanceType"
"SyntaxTemplateDictionary_1","IE_Dict","Dictionary for IE","IE Dictionary","08713d89-bf47-4349-a0ea-ffa9815f1659","SyntaxTemplateDictionary"
"SyntaxTemplateDictionary_2","AS_Dict","Dictionary for Study Assessments","Assessment Dictionary","a226d9c0-8415-43cd-b139-7916af95e55e","SyntaxTemplateDictionary"
