"id","dateValue","name","description","label","uuid:ID","instanceType"
"GovernanceDate_1","2006-06-01","D_APPROVE","Design approval date","Design Approval","076f97e7-5c6b-4d49-a40c-21f23e1ff862","GovernanceDate"
"GovernanceDate_2","2006-07-01","P_APPROVE","Protocol document approval date","Protocol Approval","cdf80dcc-4e9a-42e5-9d3e-326b50dc83e9","GovernanceDate"
