"otherReason","id","uuid:ID","instanceType"
"","StudyAmendmentReason_1","fa43b2ae-2526-4678-bd76-27ba8e2a3516","StudyAmendmentReason"
"Fix typographical errors","StudyAmendmentReason_2","1869f5bb-e6cf-4fc8-8749-b4c0ab803fc1","StudyAmendmentReason"
