"id","isEnabled","name","label","uuid:ID","isRequired","instanceType","datatype"
"BiomedicalConceptProperty_116","True","DSDECOD","DSDECOD","9e1388b3-c570-4f6c-a213-227c499ea45b","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_117","True","DSTERM","DSTERM","87e533a0-8230-4dd4-b2ff-1bab8d3e2d78","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_118","True","DSSTDTC","DSSTDTC","d2660950-7bc6-4170-814b-92e4676e173a","True","BiomedicalConceptProperty","datetime"
"BiomedicalConceptProperty_119","True","Sex","Sex","e7bd11cb-2b65-4223-9e34-920a15b219a9","True","BiomedicalConceptProperty","string"
"BiomedicalConceptProperty_120","True","Race","Race","a2ba336a-8fed-445b-a528-4343bdea525b","True","BiomedicalConceptProperty","string"
"BiomedicalConceptProperty_121","True","VSTESTCD","VSTESTCD","50656f48-e024-4c1e-8160-4cc8e2f1f8c4","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_122","True","VSORRES","VSORRES","56bb0517-79de-4bc5-9d16-b249637bb414","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_123","True","VSORRESU","VSORRESU","6c9ab69c-e18d-475c-8baa-7602e98413d2","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_124","True","VSLOC","VSLOC","fec34411-10aa-4a19-a003-898348dfc82b","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_125","True","VSTESTCD","VSTESTCD","f7094da0-c7ad-4339-93b1-a14e6db6c0cb","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_126","True","VSORRES","VSORRES","85946479-e12d-4899-8f49-cd3e42814a66","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_127","True","VSORRESU","VSORRESU","0f0a21f2-a616-489b-ba85-be5a8467279e","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_128","True","VSTESTCD","VSTESTCD","0b9ba98c-4ce9-4653-9e58-d23d11be4c34","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_129","True","VSORRES","VSORRES","38e47f48-9da4-4849-a154-fa39f2e93bf6","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_130","True","VSORRESU","VSORRESU","3213da12-9b79-43a4-8021-24eb5e86dd9c","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_131","True","LBTESTCD","LBTESTCD","5c863483-b4c3-4f28-bad1-ad4fe90e4fed","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_132","True","LBORRES","LBORRES","9e0332c0-6c68-4988-88e2-32e4d77c4ca1","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_133","True","LBORRESU","LBORRESU","106d59bf-5a97-4086-8d5f-02b147479989","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_134","True","LBSPEC","LBSPEC","faae1d81-0229-4ec8-9a60-9b3ccb424572","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_135","True","LBFAST","LBFAST","77e1acf0-6261-4b5e-8308-203759a4963b","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_136","True","LBTESTCD","LBTESTCD","387d891f-da62-48cd-b026-de8454d94856","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_137","True","LBORRES","LBORRES","ce0db97c-9864-4d1f-8227-fba672ded6ce","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_138","True","LBSPEC","LBSPEC","5d681466-e8c4-4529-8495-4674d99e0aa4","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_139","True","LBFAST","LBFAST","7be199fb-d396-46b7-94ab-a65d2c7fcb57","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_140","True","LBTESTCD","LBTESTCD","5da99f79-059c-4aef-ac47-c625ad1d2cc7","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_141","True","LBORRES","LBORRES","da6718eb-1d19-42c3-8e3c-25457ba1b40f","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_142","True","LBORRESU","LBORRESU","e133a7b0-52a6-4565-a1de-a4a30fccac1a","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_143","True","LBSPEC","LBSPEC","f33af104-3c06-46d2-ada9-96860702e1ac","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_144","True","LBFAST","LBFAST","3f5c7329-03cf-42d0-bc22-4385457ef43b","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_145","True","LBTESTCD","LBTESTCD","ce8b9115-f110-4aa2-a00e-ea21ce6105f3","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_146","True","LBORRES","LBORRES","91e80d37-7b4b-4be3-be7d-3c7635c10ea7","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_147","True","LBORRESU","LBORRESU","871ef33e-75e6-4ebd-9fa9-306a420405d2","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_148","True","LBSPEC","LBSPEC","57d43bba-1414-4cb1-8205-d9e5c788cc58","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_149","True","LBFAST","LBFAST","b6bee364-dca1-4a6d-8fe2-3558e52fee35","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_150","True","LBTESTCD","LBTESTCD","3f739d24-3682-45f1-b099-689c8a5298b0","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_151","True","LBORRES","LBORRES","eba9ee21-0d4e-490c-ba8e-a3af2eace2ca","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_152","True","LBORRESU","LBORRESU","ab4ac246-90f0-49e5-9cb5-bdaf495094c3","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_153","True","LBSPEC","LBSPEC","4df64119-afc8-464e-94c9-454beeba0001","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_154","True","LBFAST","LBFAST","a462aea1-f822-4188-9044-9b02da5487a1","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_155","True","LBTESTCD","LBTESTCD","f5a00f44-1516-438a-8932-9c607e74a173","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_156","True","LBORRES","LBORRES","bfc74bfb-d33e-4a1c-8b74-6ea291a4e1d7","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_157","True","LBORRESU","LBORRESU","7e42cde1-b89e-4e91-93a8-b1329466ddef","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_158","True","LBSPEC","LBSPEC","344ca8b9-2f43-41d5-bd5b-be545bc7d14f","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_159","True","LBFAST","LBFAST","7042a70a-5ebe-4a66-9137-8c297b5e7b57","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_160","True","LBTESTCD","LBTESTCD","288b7646-6d41-41ef-b274-d7332b8b6aa6","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_161","True","LBORRES","LBORRES","5113ca06-83f2-4446-8f70-bb6b55a68975","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_162","True","LBORRESU","LBORRESU","375bb2b0-4c82-40f5-9866-cd22ef5ac25b","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_163","True","LBSPEC","LBSPEC","338d7630-d6ff-45c2-8d49-e23fbc00f3ad","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_164","True","LBFAST","LBFAST","5618f3a4-6a7b-4ce2-a9bf-13b72f0dafcb","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_165","True","LBTESTCD","LBTESTCD","2963da71-6c8d-47a5-9756-509bfb127297","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_166","True","LBORRES","LBORRES","9cfd4757-4c44-446b-b66e-d90f8ff7d9ff","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_167","True","LBORRESU","LBORRESU","d8ae7042-3442-4682-90b8-4f4495293724","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_168","True","LBSPEC","LBSPEC","40cf42d6-3d5c-4061-a221-7e43c85efe74","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_169","True","LBFAST","LBFAST","5d493028-b0de-4115-957c-b2ccbd1940f7","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_1","True","AETERM","AETERM","ef8672ec-589a-47d9-b249-1be0a3bfb674","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_2","True","AEDECOD","AEDECOD","aa08bb2b-1d42-4d34-b331-251316ab4f17","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_3","True","AEPRESP","AEPRESP","42038b33-5d47-4f00-a562-60d40680f526","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_4","True","AELOC","AELOC","7773d1ea-6ba2-43e9-9a18-8a619c9ee01c","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_5","True","AESEV","AESEV","2609c200-996e-43b2-af37-94546e1e9d37","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_6","True","AESER","AESER","0254abff-530b-422a-9e1b-66479945abe8","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_7","True","AEACN","AEACN","ac2809b5-fb00-4513-a3f1-14b19b0844cf","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_8","True","AEACNOTH","AEACNOTH","e2d78f72-3155-41e2-b088-e823c1d29edf","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_9","True","AEREL","AEREL","39d28bfa-9112-4ffd-b380-a531ef785f9e","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_10","True","AERELNST","AERELNST","3ae41817-0336-451e-848b-ebac3eb72325","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_11","True","AEPATT","AEPATT","c2197149-bd90-45a5-8575-c055b4d0e3ab","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_12","True","AEOUT","AEOUT","14492c58-42df-482f-9d27-443eb0187522","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_13","True","AESCAN","AESCAN","daa14733-c870-4c5d-a810-062e65066f71","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_14","True","AESCONG","AESCONG","711f1f53-c21c-4f39-8e46-f5cb0fdb3c61","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_15","True","AESDISAB","AESDISAB","4cf90edc-19d1-4840-97ca-ed902773eef2","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_16","True","AESDTH","AESDTH","4b1c90ab-6a5a-4b0b-8509-8e10ef15697c","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_17","True","AESHOSP","AESHOSP","848cb489-5718-471d-a0d9-672e8b441327","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_18","True","AESLIFE","AESLIFE","fe2a3bf0-74fe-4361-9199-0a13ebce6bee","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_19","True","AESOD","AESOD","59a349a1-208e-4467-b9ca-32f021318e70","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_20","True","AESMIE","AESMIE","a14441e5-8918-4923-8ce8-1074e4fc8345","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_21","True","AECONTRT","AECONTRT","14b45848-c4a6-489a-baea-544397dcdc8c","True","BiomedicalConceptProperty","text"
"BiomedicalConceptProperty_22","True","AESTDTC","AESTDTC","bb8c20af-3198-41c1-ae43-6ae62fcec024","True","BiomedicalConceptProperty","datetime"
"BiomedicalConceptProperty_23","True","AEENDTC","AEENDTC","f4887be6-4424-4383-849c-f69a4e261892","True","BiomedicalConceptProperty","datetime"
"BiomedicalConceptProperty_24","True","VSTESTCD","VSTESTCD","4a4ec0c3-411b-4f75-9f72-6d6bcdbc992b","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_25","True","VSORRES","VSORRES","ba053be6-49d7-498e-81b6-1e2c40743c6d","True","BiomedicalConceptProperty","integer"
"BiomedicalConceptProperty_26","True","VSORRESU","VSORRESU","42d47c1f-8193-408c-873c-2634a1c09e5e","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_27","True","VSPOS","VSPOS","e7082a52-8deb-423a-b3eb-fb7b096e5fd4","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_28","True","VSLOC","VSLOC","e5f6e079-0e68-4eec-a9c3-416662a45385","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_29","True","VSLAT","VSLAT","fa2c42c7-bb12-4ea7-9649-cb6da9af9f30","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_30","True","VSTESTCD","VSTESTCD","fed2dc3c-263b-4572-ba8d-5f8d4d45abd1","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_31","True","VSORRES","VSORRES","ed802760-e1e0-4815-a17b-abbfc92e80ea","True","BiomedicalConceptProperty","integer"
"BiomedicalConceptProperty_32","True","VSORRESU","VSORRESU","135aac13-8a1f-4eda-bc4e-f0efe01b7f8f","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_33","True","VSPOS","VSPOS","d8818a53-38f3-497d-9f11-798e7fefa446","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_34","True","VSLOC","VSLOC","71db9b9a-9ec2-4694-b2be-a303630a1f5f","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_35","True","VSLAT","VSLAT","aa62f886-4799-425c-ab4d-fbd8b8ca2a49","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_36","True","VSTESTCD","VSTESTCD","6ed6cfed-b249-4fef-ba9c-27e1f4799cfc","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_37","True","VSORRES","VSORRES","8b3521ca-dbdf-4cf5-86e1-a953c2def228","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_38","True","VSORRESU","VSORRESU","9da4632f-1be6-49b9-b25a-e8a9ef44481a","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_39","True","VSLOC","VSLOC","e71e902e-4687-4be9-9501-5314529f1db3","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_40","True","VSTESTCD","VSTESTCD","a6751279-9612-4d4a-b688-99411052755b","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_41","True","VSORRES","VSORRES","5a85ffae-e962-4284-82d9-0f0cbb92e9f8","True","BiomedicalConceptProperty","float"
"BiomedicalConceptProperty_42","True","VSORRESU","VSORRESU","71512fb6-fabc-47cf-84f8-b1239ddcd1ce","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_43","True","VSTESTCD","VSTESTCD","8dcad0e1-9960-4148-af09-6faa87c77d5b","True","BiomedicalConceptProperty",""
"BiomedicalConceptProperty_44","True","VSORRES","VSORRES","7f4ad3c6-d4d1-4296-b965-fee967037544","True","BiomedicalConceptProperty","float"
