"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","2fddfeba-a47b-490a-8bfa-28a5eff9f125"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","62ab3a5f-5a18-43f8-b5c2-635421515be9"
