"uuid:ID","maxValue","id","instanceType","minValue","isApproximate"
"037f697c-00a1-42cf-af1f-05b44322d167","300.0","Range_2","Range","300.0","False"
"a87bed8a-7653-4081-8160-59aeedbd1d70","300.0","Range_1","Range","300.0","False"
"a6b40a34-095f-4185-a5be-dcc95edf6cd3","100.0","Range_3","Range","50.0","False"
