"description","uuid:ID","name","label","dateValue","id"
"Design approval date","8cad52c1-6782-4269-8bdb-980d858f91ab","D_APPROVE","Design Approval","2006-06-01","GovernanceDate_1"
"Protocol document approval date","c82e800c-6301-4afe-a34c-39c8d3f7dced","P_APPROVE","Protocol Approval","2006-07-01","GovernanceDate_2"
