"isApproximate","uuid:ID","maxValue","id","minValue"
"False","ac324e9a-6aa6-431d-9a19-4439c62a4361","300.0","Range_2","300.0"
"False","f7fc1349-b85c-480f-8d95-ab50fa4b6eb2","300.0","Range_1","300.0"
