"name","uuid:ID","label","text","description","id"
"AP_1","b36485dd-92e0-45e6-b3e7-e3a0b050246f","","ITT","","AnalysisPopulation_1"
"AP_4","427dfcfb-8985-41f9-a527-38ca89604934","","ITT","","AnalysisPopulation_2"
