"uuid:ID","decode","codeSystemVersion","code","codeSystem","id"
"21f1bec3-ec9b-4b5b-9a54-a8f48e65d5f5","Interventional Study","2023-09-29","C98388","http://www.cdisc.org","Code_1"
"8400daf4-f6df-4b77-a736-26685545f871","Phase III Trial","2023-09-29","C15602","http://www.cdisc.org","Code_2"
"2ce10c38-75c0-486c-a40a-3c2191a70a2c","Sponsor Approval Date","2023-09-29","C132352","http://www.cdisc.org","Code_6"
"3e79b25d-97ae-4fc3-b784-b70acb73e4de","Global","2023-09-29","C68846","http://www.cdisc.org","Code_7"
"ad94f240-eb92-4b04-87cd-93d25e4718f4","Vacines Group","12","VAC","SPONSOR","Code_3"
"69363d8f-e2de-4d33-a4c3-01e56a29dbe3","Regulatory","12","REG","SPONSOR","Code_4"
"65910d5b-27b5-4416-8083-66efe2815fa3","Study Registry","2023-09-29","C93453","http://www.cdisc.org","Code_10"
"c92f4d34-8042-4cbd-8402-da663754114e","United Kingdom of Great Britain and Northern Ireland","2020-08","GBR","ISO 3166 1 alpha3","Code_11"
"a0d18fc3-6389-47d8-a18e-2d7c80bdbc9f","Clinical Study Sponsor","2023-09-29","C70793","http://www.cdisc.org","Code_12"
"eee6d8ea-da1e-4e63-9d68-78adc4dccb1b","France","2020-08","FRA","ISO 3166 1 alpha3","Code_13"
"9eea1d52-7ae2-4dd2-83b3-de969f1b443d","Basic Research","2023-09-29","C15714","http://www.cdisc.org","Code_42"
"e3d216a5-35b4-406e-bf34-d50f05d1b4c3","Device Feasibility Study","2023-09-29","C139174","http://www.cdisc.org","Code_43"
"dff70455-8971-47e3-ad75-47c8986947ca","Efficacy Study","2023-09-29","C49666","http://www.cdisc.org","Code_44"
"02801d4c-11a2-4a4a-97e8-a33e78f42eca","Type 2 diabetes","12","T2_DIABETES","SPONSOR","Code_39"
"0530ddad-8c42-458b-b826-dd9e8fba7193","Diabetes mellitus (disorder)","January 31, 2018","73211009","SNOMED","Code_40"
"22182206-1855-4eac-a7f9-03b5f05ac295","Parallel Study","2023-09-29","C82639","http://www.cdisc.org","Code_45"
