"id","instanceType","uuid:ID","otherReason"
"StudyAmendmentReason_1","StudyAmendmentReason","c78d9807-97a4-40f3-adcb-d18bfba085cf",""
"StudyAmendmentReason_2","StudyAmendmentReason","6027786a-38cc-4f91-a7b5-244bb3b10c4e","Fix typographical errors"
