"id","instanceType","minValue","maxValue","uuid:ID","isApproximate"
"Range_2","Range","300.0","300.0","91779485-7873-4eac-9e83-f3b1c6eaac7c","False"
"Range_1","Range","300.0","300.0","ad22b589-2a6f-452e-8c64-518be7c49db4","False"
"Range_3","Range","50.0","100.0","c1408f4b-3c64-443a-b757-1f50e6991280","False"
