"name","id","instanceType","label","isEnabled","uuid:ID","datatype","isRequired"
"DSDECOD","BiomedicalConceptProperty_116","BiomedicalConceptProperty","DSDECOD","True","365d57b1-d095-44d7-90d1-4987e522c754","text","True"
"DSTERM","BiomedicalConceptProperty_117","BiomedicalConceptProperty","DSTERM","True","2fe62ada-feb9-40a8-ada2-b2b549fd1f5c","text","True"
"DSSTDTC","BiomedicalConceptProperty_118","BiomedicalConceptProperty","DSSTDTC","True","0ff43337-19cf-45b0-a5d1-e7873e636482","datetime","True"
"Sex","BiomedicalConceptProperty_119","BiomedicalConceptProperty","Sex","True","7485061e-c791-427d-a48e-407409e8aa90","string","True"
"Race","BiomedicalConceptProperty_120","BiomedicalConceptProperty","Race","True","5886e0b3-6d42-4bfa-b18d-32699dd7a6aa","string","True"
"VSTESTCD","BiomedicalConceptProperty_121","BiomedicalConceptProperty","VSTESTCD","True","9220fd81-3e6a-4489-b9ad-59f05a25573e","","True"
"VSORRES","BiomedicalConceptProperty_122","BiomedicalConceptProperty","VSORRES","True","3c1de962-e4ea-4f6a-87c4-93c6c218db10","float","True"
"VSORRESU","BiomedicalConceptProperty_123","BiomedicalConceptProperty","VSORRESU","True","2d477db9-71f6-4924-b2ce-eae96f23e001","","True"
"VSLOC","BiomedicalConceptProperty_124","BiomedicalConceptProperty","VSLOC","True","5874ae8e-0d17-4961-b5b1-abed632a061b","","True"
"VSTESTCD","BiomedicalConceptProperty_125","BiomedicalConceptProperty","VSTESTCD","True","a5830df0-7ab3-433b-ba27-4e339486e202","","True"
"VSORRES","BiomedicalConceptProperty_126","BiomedicalConceptProperty","VSORRES","True","1a5ead12-6dd1-4e26-9dc0-929693ec6515","float","True"
"VSORRESU","BiomedicalConceptProperty_127","BiomedicalConceptProperty","VSORRESU","True","fda21745-9dcd-4b7e-8c4e-c80dd9f87134","","True"
"VSTESTCD","BiomedicalConceptProperty_128","BiomedicalConceptProperty","VSTESTCD","True","fe68a185-32fd-4501-89dd-08ecc085c134","","True"
