"name","dataOriginDescription","uuid:ID","description","label","id"
"Active","Data collected from subjects","6000bb3d-a4e7-48cf-acc8-d9900802572a","Active Substance","","StudyArm_1"
"Placebo","Data collected from subjects","37226ace-e8bb-4344-8c15-281d86cba3da","Placebo","","StudyArm_2"
