"id","description","name","parameterMap","uuid:ID","label","instanceType"
"SyntaxTemplateDictionary_1","Dictionary for IE","IE_Dict","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","abbc9d1f-0fb6-4616-b3eb-0e1b1fd1ee34","IE Dictionary","SyntaxTemplateDictionary"
"SyntaxTemplateDictionary_2","Dictionary for Study Assessments","AS_Dict","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>'}","6622efcf-c1da-48c0-b97f-fc34e383c163","Assessment Dictionary","SyntaxTemplateDictionary"
