"id","description","name","uuid:ID","label","instanceType","dateValue"
"GovernanceDate_1","Design approval date","D_APPROVE","bb51a3a7-ddec-49f5-b0d9-ebd4685afb80","Design Approval","GovernanceDate","2006-06-01"
"GovernanceDate_2","Protocol document approval date","P_APPROVE","559f0a03-f83c-478f-a8d5-74cec087f55f","Protocol Approval","GovernanceDate","2006-07-01"
