"otherReason","uuid:ID","instanceType","id"
"","929489b1-7ad0-4aaa-b54c-947bc915d6fc","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","99a2e379-6d18-4867-84ab-ac4c3fd68d0a","StudyAmendmentReason","StudyAmendmentReason_2"
