"id:ID","uuid","standardCodeAliases","id"
"314","27500acb-a659-4f1e-afab-1fa20f6a24da","[]","AliasCode_1"
"315","057cac48-c60b-48e2-a273-dd7b46303cc9","[]","AliasCode_3"
"316","9fc6ad25-95fd-4f5b-9e25-0c5f960f6d26","[]","AliasCode_4"
"317","491a8403-08b1-4a38-bc1b-be8f3c432b7c","[]","AliasCode_109"
"318","553fbc72-0f35-48bf-983d-8c7fc6147b9f","[]","AliasCode_110"
"319","85237238-771a-4491-aa59-d2bfc699ea0a","[]","AliasCode_111"
"320","96695e89-5b18-4af3-ab6f-055f4bd495d6","[]","AliasCode_108"
"321","46c5b9bf-7320-4c70-a9ff-897d3e737f6e","[]","AliasCode_113"
"322","3c8a7370-4ca4-4e0a-877d-b285b14a0c90","[]","AliasCode_114"
"323","c4b99b32-b431-4f5b-938b-870bbbc35388","[]","AliasCode_112"
"324","b5d373e2-f540-4301-bfc5-8df1a20d9677","[]","AliasCode_116"
"325","66c59bd6-0cf2-411f-bb0b-046f90a986be","[]","AliasCode_117"
"326","4dbe91b8-5093-4a1b-97f8-ed6bf17108b2","[]","AliasCode_115"
"327","ec2d19f5-f300-48bf-88e8-036d2af662a9","[]","AliasCode_119"
"328","72c41621-8fb4-4399-a91f-9585b63019a8","[]","AliasCode_120"
"329","9b378e80-d0e9-4746-8019-e633dcf617c5","[]","AliasCode_121"
"330","bd6b1fc9-4c6b-4103-956a-895e2d2ed3ec","[]","AliasCode_122"
"331","da4b4242-dc0a-4601-8d18-5c35b343f5da","[]","AliasCode_118"
"332","cfaf11c3-df59-4672-bb9b-6c78b5c3f7d6","[]","AliasCode_124"
"333","d0ce348e-801a-4b30-a065-b70807f414bf","[]","AliasCode_125"
"334","191a3c74-60e1-4f8d-89e7-64dadb4849bf","[]","AliasCode_126"
"335","3732439a-4334-44d5-a0a7-cc803c79fc14","[]","AliasCode_127"
"336","5e72aa52-16f7-4570-a87c-23e9d371e659","[]","AliasCode_123"
"337","7f4a884f-02d0-41a1-bcd7-6b1277c73d92","[]","AliasCode_129"
"338","3dc48123-4175-4053-b3c5-edd05cac05c2","[]","AliasCode_130"
"339","a76ab67c-fa28-4d84-b4fc-583f66e5e11c","[]","AliasCode_131"
"340","e62b4cb7-22ff-4830-835a-f954f2b21ed4","[]","AliasCode_132"
"341","799f60fb-827f-43d1-8196-218cbc9643cd","[]","AliasCode_128"
"342","ebff2c95-c50b-4837-bc32-c7c03cafd7a2","[]","AliasCode_134"
"343","a988903c-c112-4d53-923d-cff84b001c99","[]","AliasCode_135"
"344","98ce4110-045b-4698-b7c1-df9de600f2ae","[]","AliasCode_136"
"345","a6bf0aa1-b04e-4b45-ac09-ca5a70a30221","[]","AliasCode_137"
"346","b3fa611d-6a7c-4c8f-a50e-f2d1811db97e","[]","AliasCode_133"
"347","dfa9f393-4ab8-4c97-a406-c709f346fa13","[]","AliasCode_139"
"348","d0dbfd29-7479-49b5-b7b0-2624aaf863cd","[]","AliasCode_140"
"349","065fad6e-17e2-4ab4-98a5-7ce195040817","[]","AliasCode_141"
"350","792d643b-840a-4874-931f-ebf255bff430","[]","AliasCode_142"
"351","f3364180-5aed-4ccb-9506-9de0ddb4b5d9","[]","AliasCode_138"
"352","f9fbae51-a3ca-4cab-8c5a-849e47ecdc5b","[]","AliasCode_144"
"353","dbf282b4-4c65-48d2-b975-30f848b10751","[]","AliasCode_145"
"354","7d614114-cee0-4180-80ef-9e8058199254","[]","AliasCode_146"
"355","eeb3317a-9123-44d8-bfeb-cdec60f758d5","[]","AliasCode_147"
"356","2b5ec9c7-9f16-462d-8411-1a82e9632a2c","[]","AliasCode_143"
"357","8f356143-8f4b-4d69-b0e5-43095ee1e57a","[]","AliasCode_149"
"358","8273a878-27d9-46a5-9d00-3d64161903c6","[]","AliasCode_150"
"359","39da4fd5-db0b-4187-96dd-36744057c6b3","[]","AliasCode_151"
"360","e48b8423-dad4-425d-b2b8-51935dcbfff6","[]","AliasCode_152"
"361","7d79bd91-2c08-4016-bd2e-59dafe7b6da3","[]","AliasCode_148"
"362","dfdbb669-1f60-4df5-928c-416b92c91465","[]","AliasCode_7"
"363","e614f8af-88b1-49ae-a959-a8da28e3c21e","[]","AliasCode_8"
"364","cd6669b8-4aa1-403e-ae9d-b0aed09dc67c","[]","AliasCode_9"
"365","764c315f-238b-4583-82f8-ce2e91ae94b9","[]","AliasCode_10"
"366","12d5c12c-0a29-401e-ba9a-ca052457151d","[]","AliasCode_11"
"367","0ea88bdd-62bf-4830-89ac-030296a4647f","[]","AliasCode_12"
"368","0bae66f7-1ad3-4a2c-a614-ca2edd4bf7a5","[]","AliasCode_13"
"369","48c771b6-4552-4062-91c2-ad2443af6a38","[]","AliasCode_14"
"370","ab0895a4-68dd-468f-8eb8-cefd37f23c01","[]","AliasCode_15"
"371","05c8f88c-26b3-454f-8d14-24259f5c0191","[]","AliasCode_16"
"372","2a32ef74-b9b8-4469-8fe3-c11c32b23e84","[]","AliasCode_17"
"373","17f18cd8-3e30-4527-9133-9d2086d2de22","[]","AliasCode_18"
"374","7806f421-5501-47f3-a7ff-5e221b106c20","[]","AliasCode_19"
"375","29a1938a-251c-422b-9bbe-407693738432","[]","AliasCode_20"
"376","e4ff99ab-87a4-4349-95b0-5f43eec54768","[]","AliasCode_6"
"377","3c43ab2a-cbb1-4d9b-9920-800e94c426f0","[]","AliasCode_22"
"378","07719840-127a-4b5c-a37b-a385c7b1e550","[]","AliasCode_23"
"379","8f79eec1-667b-4e55-970f-4f489f034029","[]","AliasCode_24"
"380","57dfdbea-26d3-456b-988e-fb336b9efc0c","[]","AliasCode_25"
"381","502bc8ad-5aa6-4851-9c1a-c9ba11cf1f36","[]","AliasCode_26"
"382","b9cf5a76-635b-416b-b5d0-5172dca192ef","[]","AliasCode_27"
"383","cc301a11-b7a2-4e46-abe7-110508db030a","[]","AliasCode_21"
"384","d9709708-45b2-4d48-bae6-57bbbc9ad43c","[]","AliasCode_29"
"385","bd1da625-fc44-4a7e-a9b9-e6a420ecaa87","[]","AliasCode_30"
"386","12cb7ca8-4e58-4cda-a1ec-5a730480b32e","[]","AliasCode_31"
"387","0ff24a4d-411e-4dc1-a27c-a22da28768e0","[]","AliasCode_32"
"388","2adc0a67-9fd9-475f-ab23-0e27388b48e3","[]","AliasCode_33"
"389","86511a79-ee38-4e08-a84f-3bd27d5b271e","[]","AliasCode_34"
"390","5abeef7b-52a5-49d2-b609-f058110a7f56","[]","AliasCode_28"
"391","154a9663-b5c8-4668-907c-6c7abd88ed6f","[]","AliasCode_36"
"392","22abb858-259e-4b7b-9942-d4a6d3f7e80d","[]","AliasCode_37"
