"id:ID","dateValue","label","uuid","name","description","id"
"468","2006-07-01","Design Approval","92d7bc3e-50c0-4dbb-b9e0-12909d56ba3c","Approval","Design approval date","GovernanceDate_1"
"469","2006-07-01","Protocol Approval","3c9c4484-edf0-46e3-ae21-84416c9995d3","Approval","Protocol document approval date","GovernanceDate_2"
