"instanceType","isApproximate","id","minValue","uuid:ID","maxValue"
"Range","False","Range_2","300.0","175a9fe0-270b-4ac6-98ed-e0b27840d667","300.0"
"Range","False","Range_1","300.0","82f5abfa-5dac-4d9d-af56-1b80a5883d68","300.0"
"Range","False","Range_3","50.0","2bd18fd1-ef89-4369-b7a2-a1b0fbd5646c","100.0"
