"instanceType","id","uuid:ID","otherReason"
"StudyAmendmentReason","StudyAmendmentReason_1","f9bf78b3-5857-4bcd-baba-0854717c5bb1",""
"StudyAmendmentReason","StudyAmendmentReason_2","3493f344-da24-4d4d-9447-e71e23df06ec","Fix typographical errors"
