"isApproximate","uuid:ID","instanceType","id","minValue","maxValue"
"False","341345f1-11b1-4689-9338-4dff3b4eed99","Range","Range_2","300.0","300.0"
"False","47d07d61-248a-423b-8521-439ab5e68072","Range","Range_1","300.0","300.0"
"False","e17f6631-2420-4fc6-ad42-883f761da0f9","Range","Range_3","50.0","100.0"
