"description","uuid:ID","instanceType","id","name","parameterMap","label"
"Dictionary for IE","3d0c1667-e880-449a-ae2c-76c93e93012a","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1","IE_Dict","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","IE Dictionary"
"Dictionary for Study Assessments","dfa7e35d-b9a2-4318-8bbf-36d6594f7448","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2","AS_Dict","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>'}","Assessment Dictionary"
