"id","name","label","uuid:ID","isEnabled","datatype","instanceType","isRequired"
"BiomedicalConceptProperty_116","DSDECOD","DSDECOD","757e0264-f9bd-4273-9fd4-727553e99f05","True","text","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_117","DSTERM","DSTERM","2afb7fa5-a88f-462d-b5a0-73b2bf1ac8bc","True","text","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_118","DSSTDTC","DSSTDTC","d21a82df-8761-4bfb-86fc-d28137db4abe","True","datetime","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_119","Sex","Sex","96d9783b-e3a4-4966-a971-1d29c4ac2982","True","string","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_120","Race","Race","a249087a-e7b9-4db2-90bc-84772774f26f","True","string","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_121","VSTESTCD","VSTESTCD","b382ce85-9e94-45e0-b6f3-fd66811ee270","True","","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_122","VSORRES","VSORRES","e6dfd4af-0a4a-4f5c-ba91-cc796b932499","True","float","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_123","VSORRESU","VSORRESU","29726917-f53a-4ca7-8916-1db45a63a57e","True","","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_124","VSLOC","VSLOC","be4c7b4a-005e-4afe-923a-27e0e16847b1","True","","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_125","VSTESTCD","VSTESTCD","7393bce8-711b-4c43-a50c-366cacbd7236","True","","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_126","VSORRES","VSORRES","ef48ae85-37a1-4f03-ab22-795643b97d04","True","float","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_127","VSORRESU","VSORRESU","b0b0e79a-e8f5-4df0-b017-0e68e356deef","True","","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_128","VSTESTCD","VSTESTCD","ea5e6a34-6016-4493-8c1c-d761d7e57276","True","","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_129","VSORRES","VSORRES","99c90019-c4b9-437c-a3b7-a45f04caed14","True","float","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_130","VSORRESU","VSORRESU","f18afcb0-8942-4e40-9849-be9b9302eebe","True","","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_131","LBTESTCD","LBTESTCD","cf90aed0-4dd4-428c-a1e3-21d85cad4af1","True","","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_132","LBORRES","LBORRES","f8080514-1c4d-432a-b2ce-0030614fe48a","True","float","BiomedicalConceptProperty","True"
"BiomedicalConceptProperty_133","LBORRESU","LBORRESU","3ee8b0b6-bfc5-4397-a6fb-0326d67dd8b6","True","","BiomedicalConceptProperty","True"
