"instanceType","id","uuid:ID","otherReason"
"StudyAmendmentReason","StudyAmendmentReason_1","bbc076d7-c668-40df-91ca-c6cdb0654a62",""
"StudyAmendmentReason","StudyAmendmentReason_2","b2b277d2-a6d2-43ca-a72d-ed1b93eceaf6","Fix typographical errors"
