"id","name","label","uuid:ID","dateValue","instanceType","description"
"GovernanceDate_1","D_APPROVE","Design Approval","f6501186-f781-441f-9279-91ad190d8b14","2006-06-01","GovernanceDate","Design approval date"
"GovernanceDate_2","P_APPROVE","Protocol Approval","d8838203-3d95-43dc-bc33-4798c65de134","2006-07-01","GovernanceDate","Protocol document approval date"
