"label","uuid:ID","description","name","parameterMap","id","text"
"IE Dictionary","2b8a4ab2-6514-47b6-a2ef-0efbe982a89e","Dictionary for IE","IE_Dict","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","SyntaxTemplateDictionary_1",""
"Assessment Dictionary","c6baf341-5457-4cfc-ba4f-a68afd394ae8","Dictionary for Study Assessments","AS_Dict","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","SyntaxTemplateDictionary_2",""
