"id","code","codeSystem","codeSystemVersion","uuid:ID","decode"
"Code_1","C98388","http://www.cdisc.org","2023-09-29","fd1681dc-721d-47cb-8d47-3092fa2affdb","Interventional Study"
"Code_2","C15602","http://www.cdisc.org","2023-09-29","de8b7236-f271-4c41-a4cf-f3879a820db4","Phase III Trial"
"Code_6","C132352","http://www.cdisc.org","2023-09-29","018f2638-926e-4a7d-a20f-d62d99d601ae","Sponsor Approval Date"
"Code_7","C68846","http://www.cdisc.org","2023-09-29","064ec383-d08c-4ba8-979f-7eb4538200bc","Global"
"Code_3","VAC","SPONSOR","12","98c9f81c-1067-499d-a6b4-430bc0aaf45d","Vacines Group"
"Code_4","REG","SPONSOR","12","60ad69c5-236a-4eb7-b3d4-de713718182c","Regulatory"
"Code_10","C93453","http://www.cdisc.org","2023-09-29","29a219ca-5864-4458-8390-cab1f7c29e4c","Study Registry"
"Code_11","GBR","ISO 3166 1 alpha3","2020-08","5d8866ba-dd36-46f5-9830-5708920134c3","United Kingdom of Great Britain and Northern Ireland"
"Code_12","C70793","http://www.cdisc.org","2023-09-29","dc6a6661-25df-4428-9741-718c89376d6e","Clinical Study Sponsor"
"Code_13","FRA","ISO 3166 1 alpha3","2020-08","89629998-5380-415a-8234-525ef44fb3bf","France"
"Code_42","C15714","http://www.cdisc.org","2023-09-29","720ddbba-5019-428f-93ff-1cd8f56848e0","Basic Research"
"Code_43","C139174","http://www.cdisc.org","2023-09-29","f47b40fa-1fd4-457a-9a50-6800c9f8c1b0","Device Feasibility Study"
"Code_44","C49666","http://www.cdisc.org","2023-09-29","f3382d72-1f61-4b3a-a474-19c712cd9808","Efficacy Study"
"Code_39","T2_DIABETES","SPONSOR","12","588ec0f6-e464-4621-ab87-36e3e4fa43e9","Type 2 diabetes"
"Code_40","73211009","SNOMED","January 31, 2018","3a5823c3-b65e-4ce1-907c-a9ae28004c82","Diabetes mellitus (disorder)"
"Code_45","C82639","http://www.cdisc.org","2023-09-29","d9bcb1ee-d363-422d-8d24-ea10a402737f","Parallel Study"
"Code_16","C25716","http://www.cdisc.org","2023-09-29","b1f62ddd-af0e-43ea-8db9-89525c148e53","Visit"
"Code_17","C51282","http://www.cdisc.org","2023-09-29","e8593db6-ea7d-408e-bbe7-955088e48122","Clinic"
"Code_18","C175574","http://www.cdisc.org","2023-09-29","bd5ba590-9013-40ea-a952-08da340f5637","In Person"
"Code_19","C25716","http://www.cdisc.org","2023-09-29","1ec3b0e7-c796-4ddc-8cff-8493e47c3bbc","Visit"
"Code_20","C51282","http://www.cdisc.org","2023-09-29","dbd7b325-ec8e-4119-a632-80e6d7b589e0","Clinic"
"Code_21","C175574","http://www.cdisc.org","2023-09-29","058cd2e4-3637-443d-b946-3376e5b2fc7c","In Person"
"Code_22","C25716","http://www.cdisc.org","2023-09-29","26fb4815-05ac-4967-98d6-d3011eefc1cb","Visit"
"Code_23","C51282","http://www.cdisc.org","2023-09-29","e312b486-9829-4f4b-bc22-ac7090bc233b","Clinic"
"Code_24","C175574","http://www.cdisc.org","2023-09-29","e28ecf9c-84ea-4611-bf3c-142bf5572a60","In Person"
"Code_25","C25716","http://www.cdisc.org","2023-09-29","61412a43-7b5f-48a1-b761-93e585a2f089","Visit"
"Code_26","C51282","http://www.cdisc.org","2023-09-29","26d6e60a-17fd-4324-9b8e-3ab1a2e533a2","Clinic"
"Code_27","C175574","http://www.cdisc.org","2023-09-29","b28266ca-0653-48ef-b21c-7446374e6da3","In Person"
