"id:ID","uuid","otherReason","id"
"470","8af4cf1e-21b5-4e8e-8317-6742427c6616","","StudyAmendmentReason_1"
"471","ea8dea7f-cecf-48f0-99b7-3759d99e4ca3","Fix typographical errors","StudyAmendmentReason_2"
