"id:ID","uuid","id"
"721","11f643de-c0b1-493d-960a-58b1ad16c530","StudyCell_1"
"722","4f0d097a-6ca3-4afa-a6a0-2ca880ffe80e","StudyCell_2"
"723","deb7de3e-c2c1-4de1-a5a8-e9cc56c53c1a","StudyCell_3"
"724","72f98704-b223-459e-80ee-73c1ea132a71","StudyCell_4"
"725","e1aab1cc-7078-44b7-855f-7581f243b0f7","StudyCell_5"
"726","9dd8e36c-9bc0-4a1f-b520-ebfe26563ffe","StudyCell_6"
"727","e2cd048f-a407-4d22-9754-b471eda7ccb3","StudyCell_7"
"728","0803737e-7572-44fb-9cea-9cd37692043e","StudyCell_8"
"729","2a0a5d36-82ab-4731-ade9-30dc54aec878","StudyCell_9"
"730","af08d388-a03c-4291-a916-818072ee40b8","StudyCell_10"
"731","0ec1cfc8-11fe-4d3b-98b5-7e398ffe392d","StudyCell_11"
"732","6a995875-14b1-4749-ab2d-e5c7afadfe2c","StudyCell_12"
"733","fcd35f01-3193-421e-baa8-9b0d26f82b8e","StudyCell_13"
"734","df1cf96a-3fb5-408e-a3a7-3179890dfb92","StudyCell_14"
"735","37bca44a-cef1-4ad3-9796-fcbb026de4c8","StudyCell_15"
