"id","uuid:ID","minValue","maxValue","isApproximate"
"Range_2","1f14bb51-ef39-48db-a978-a8acf280c3cf","120.0","120.0","False"
"Range_1","b55b5975-1be7-441a-a442-fbfa534892a0","100.0","100.0","False"
