"minValue","maxValue","id","uuid:ID","instanceType","isApproximate"
"300.0","300.0","Range_2","7b7469a7-8e37-4818-a3d4-d00e95bc9709","Range","False"
"300.0","300.0","Range_1","d4169827-12af-4aa5-96f9-1fae074ab246","Range","False"
"50.0","100.0","Range_3","616c4fb7-cad0-45cf-82f5-13cce4c377d5","Range","False"
