"uuid:ID","id","instanceType","otherReason"
"4e83739a-2cf8-4d6d-ab85-6e757aed15ce","StudyAmendmentReason_1","StudyAmendmentReason",""
"e4ececeb-d44a-4b48-8042-5e8c74a1cbf3","StudyAmendmentReason_2","StudyAmendmentReason","Fix typographical errors"
