"code","decode","codeSystemVersion","codeSystem","id","uuid:ID"
"C98388","Interventional Study","2023-09-29","http://www.cdisc.org","Code_1","637ffd54-a5d4-4429-a140-7d17046c448c"
"C15602","Phase III Trial","2023-09-29","http://www.cdisc.org","Code_2","cf270496-3edd-445d-a042-8429fe86feae"
"C132352","Sponsor Approval Date","2023-09-29","http://www.cdisc.org","Code_6","5aaea6c8-1006-48d9-ae73-fc80ef20b50b"
"C68846","Global","2023-09-29","http://www.cdisc.org","Code_7","de3787fc-8b18-4ed5-8f12-c9f390e23369"
"VAC","Vacines Group","12","SPONSOR","Code_3","3788dc83-a354-4b3b-a578-dc6f412d5335"
"REG","Regulatory","12","SPONSOR","Code_4","6e3a4d65-755b-44c8-8776-6139d6d86458"
"C93453","Study Registry","2023-09-29","http://www.cdisc.org","Code_10","c7ac02ae-22b3-4756-aa51-9603df17d477"
"GBR","United Kingdom of Great Britain and Northern Ireland","2020-08","ISO 3166 1 alpha3","Code_11","ac663d77-6e75-4619-97dc-99063d3ac928"
"C70793","Clinical Study Sponsor","2023-09-29","http://www.cdisc.org","Code_12","e4c4b008-b111-465b-a87a-0c5b12043035"
"FRA","France","2020-08","ISO 3166 1 alpha3","Code_13","41107e53-2545-4d2d-b892-da80551e6832"
"C15714","Basic Research","2023-09-29","http://www.cdisc.org","Code_42","052963fd-f593-4000-b4ff-490169ceef2a"
"C139174","Device Feasibility Study","2023-09-29","http://www.cdisc.org","Code_43","bc83eed7-c507-48be-af2a-1084296cd557"
"C49666","Efficacy Study","2023-09-29","http://www.cdisc.org","Code_44","2436d4aa-4539-46ca-951b-f9b7d32e02c7"
"T2_DIABETES","Type 2 diabetes","12","SPONSOR","Code_39","7c92e8f0-b4fc-4b1d-b35f-6dfa4b893547"
"73211009","Diabetes mellitus (disorder)","January 31, 2018","SNOMED","Code_40","5b439e23-2cde-4bb6-aeaf-95b78019df88"
"C82639","Parallel Study","2023-09-29","http://www.cdisc.org","Code_45","848076e5-ac06-42c0-b77d-f68b14288ad4"
"C25716","Visit","2023-09-29","http://www.cdisc.org","Code_16","931f0509-75ed-41ac-a02f-02aa4b4bfbd3"
"C51282","Clinic","2023-09-29","http://www.cdisc.org","Code_17","e42d0be0-a788-4ef5-9065-889dbbb04a64"
"C175574","In Person","2023-09-29","http://www.cdisc.org","Code_18","47537816-4bd3-4e06-9d59-b9b4e6017f28"
"C25716","Visit","2023-09-29","http://www.cdisc.org","Code_19","6238e259-91f6-4c63-a389-d09b54cbe490"
"C51282","Clinic","2023-09-29","http://www.cdisc.org","Code_20","b2906235-ac69-4522-9914-1b96ae0127ee"
"C175574","In Person","2023-09-29","http://www.cdisc.org","Code_21","b495f249-856f-4eec-85f0-c52282f90f00"
"C25716","Visit","2023-09-29","http://www.cdisc.org","Code_22","807deba7-f03d-4253-a71b-12c341092f07"
"C51282","Clinic","2023-09-29","http://www.cdisc.org","Code_23","02aaaf49-76c5-48d4-afce-fb736decb6ab"
"C175574","In Person","2023-09-29","http://www.cdisc.org","Code_24","90b29717-f55b-4d4b-8ecb-ffecf2846460"
"C25716","Visit","2023-09-29","http://www.cdisc.org","Code_25","1d944d7b-5f08-4d88-acb1-f8bba31d7315"
"C51282","Clinic","2023-09-29","http://www.cdisc.org","Code_26","6b1dad5b-8bae-4eb8-a5a2-3519d2a39400"
"C175574","In Person","2023-09-29","http://www.cdisc.org","Code_27","096b92a1-5995-457f-b8f4-3a5982a0dd32"
"C25716","Visit","2023-09-29","http://www.cdisc.org","Code_28","8cb334e4-8224-4535-b908-8780a1f79135"
"C18002","Home","2023-09-29","http://www.cdisc.org","Code_29","d509df80-86d4-4800-a0f1-460bb2f81c2e"
"C171537","Telephone Call","2023-09-29","http://www.cdisc.org","Code_30","703fd703-649e-47aa-a1f9-2b49042775e8"
"C20197","Male","2023-09-29","http://www.cdisc.org","Code_72","09df1e02-130a-4e1c-a692-484a05f3e8cb"
"C16576","Female","2023-09-29","http://www.cdisc.org","Code_73","fcea29c2-c45d-4b59-a146-3ebb1f1358bb"
"C17998","Unknown","2023-09-29","http://www.cdisc.org","Code_74","8c406f95-9926-4df8-bfdf-625ff1bb2df6"
"C28421","Sex","","NCI Thesaurus","Code_75","df7182f7-b6bd-41d9-8a10-a26d851d2600"
"C28421","Sex","","NCI Thesaurus","Code_71","144df452-d27a-4af3-ab5a-6a5d21f0fca5"
"C17998","Unknown","2023-09-29","http://www.cdisc.org","Code_77","8ff19cc5-b2b1-4630-9d6a-f7be379f3cf2"
"C17049","Race","","NCI Thesaurus","Code_78","c7c0eeb3-3d59-4886-8161-ad69ae91900e"
"C17049","Race","","NCI Thesaurus","Code_76","481a81fb-1631-4ac7-a992-ecb99f548107"
"C173522","Vital Signs Result","","NCI Thesaurus","Code_80","d6e8cb52-e183-43d2-8663-a71125e8c4d9"
"C28252","Kilogram","2023-09-29","http://www.cdisc.org","Code_81","318a13c4-196c-4f82-8b7e-54b06ca06850"
"C48155","Gram","2023-09-29","http://www.cdisc.org","Code_82","229ffbb1-40c9-4a12-be26-ab99beb1eb9d"
"C48531","Pound","2023-09-29","http://www.cdisc.org","Code_83","2c25222f-e24d-450d-919a-2a75774d795d"
"C48208","Unit of Weight","","NCI Thesaurus","Code_84","0e79d731-0a64-4306-967b-85e1bfa8840e"
"C81328","Body Weight","","NCI Thesaurus","Code_79","42aaf419-6eda-4e87-8414-7bde21b52bb9"
"C174267","Active Comparator Arm","2023-09-29","http://www.cdisc.org","Code_31","bd7fb869-98f3-4a1d-9bcc-6a4d417f6be9"
"C188866","Data Generated Within Study","2023-09-29","http://www.cdisc.org","Code_32","d506c8e9-b2bf-453c-ad09-cbaf88f1af48"
"C174268","Placebo Comparator Arm","2023-09-29","http://www.cdisc.org","Code_33","b18d0a33-4f31-462b-a0ce-5ae5862e7b5a"
"C188866","Data Generated Within Study","2023-09-29","http://www.cdisc.org","Code_34","b9842e47-f8cc-40cd-a8a9-3299fd931062"
"C49659","Open Label Study","2023-09-29","http://www.cdisc.org","Code_41","6cc63136-0260-46e4-99f3-46763706d042"
"C48262","Trial Screening","2023-09-29","http://www.cdisc.org","Code_35","6a0a2edd-af78-49c0-a073-d3ee4f74e07b"
