"id","uuid:ID","minValue","instanceType","maxValue","isApproximate"
"Range_2","60e3ad2c-bae9-4775-b3c7-8de6bc717f3a","300.0","Range","300.0","False"
"Range_1","20680ce0-57b1-4bed-a647-0200c27f2445","300.0","Range","300.0","False"
"Range_3","e392c815-15c7-4a70-bd51-24f864046449","50.0","Range","100.0","False"
