"id","uuid:ID","instanceType","otherReason"
"StudyAmendmentReason_1","2399150c-0f87-4b9e-a37f-25364b35802f","StudyAmendmentReason",""
"StudyAmendmentReason_2","3a85cab9-b2d8-424f-bbc9-5ac36e0cfe7c","StudyAmendmentReason","Fix typographical errors"
