"id","uuid:ID","label","instanceType","name","description","dateValue"
"GovernanceDate_1","ce60e234-b45c-4441-b361-bfc4904c2166","Design Approval","GovernanceDate","D_APPROVE","Design approval date","2006-06-01"
"GovernanceDate_2","4a3f97a6-f182-475a-b702-6ead5872790d","Protocol Approval","GovernanceDate","P_APPROVE","Protocol document approval date","2006-07-01"
