"codeSystem","id","code","codeSystemVersion","decode","uuid:ID"
"http://www.cdisc.org","Code_1","C98388","2023-09-29","Interventional Study","d2b05e09-3823-4144-bc6d-67033f795797"
"http://www.cdisc.org","Code_2","C15602","2023-09-29","Phase III Trial","c46fb101-ab9d-48f0-8779-6841ee5e7238"
"http://www.cdisc.org","Code_6","C132352","2023-09-29","Sponsor Approval Date","d8965e9c-bf33-4af9-b69c-0f84fa234c7d"
"http://www.cdisc.org","Code_7","C68846","2023-09-29","Global","66b5f814-17fd-4113-bf57-8a118cab50fe"
"SPONSOR","Code_3","VAC","12","Vacines Group","bcb02746-ddf2-4e99-9ad4-25818d80e1ff"
"SPONSOR","Code_4","REG","12","Regulatory","e624fe6e-7c90-451d-9515-e78c871f9e07"
"http://www.cdisc.org","Code_10","C93453","2023-09-29","Study Registry","cd87de93-8166-456a-bf6a-cac6f9cb3cdf"
"ISO 3166 1 alpha3","Code_11","GBR","2020-08","United Kingdom of Great Britain and Northern Ireland","aa021ee8-efe1-4680-8d0e-e4f3a5b5e395"
"http://www.cdisc.org","Code_12","C70793","2023-09-29","Clinical Study Sponsor","91112eb4-6300-4c72-9ae3-627720e554b5"
"ISO 3166 1 alpha3","Code_13","FRA","2020-08","France","4ccbdf4e-fc26-4095-beef-0e2838824500"
"http://www.cdisc.org","Code_42","C15714","2023-09-29","Basic Research","edebdafd-0ca9-4fd0-918a-8e83abdd7510"
"http://www.cdisc.org","Code_43","C139174","2023-09-29","Device Feasibility Study","4e0c8232-9dd8-4654-8014-33095f445649"
"http://www.cdisc.org","Code_44","C49666","2023-09-29","Efficacy Study","0a6e5fa4-76d2-4f19-911e-6cfb2c595e0f"
"SPONSOR","Code_39","T2_DIABETES","12","Type 2 diabetes","70a8184b-f2c6-4348-a0d7-3b85acb92958"
"SNOMED","Code_40","73211009","January 31, 2018","Diabetes mellitus (disorder)","5b614f03-e85d-4b04-ad2b-b97bf6951558"
"http://www.cdisc.org","Code_45","C82639","2023-09-29","Parallel Study","6f14ecfc-be6a-4e84-b55a-1978316553d3"
"http://www.cdisc.org","Code_16","C25716","2023-09-29","Visit","380e38ae-5b32-4e80-8c67-81b28108ccd3"
"http://www.cdisc.org","Code_17","C51282","2023-09-29","Clinic","9d0c53a0-6e20-46e1-a9c4-b0e56852b18b"
"http://www.cdisc.org","Code_18","C175574","2023-09-29","In Person","9c689e94-f6c6-42c4-9b18-b0d97f1fe14f"
"http://www.cdisc.org","Code_19","C25716","2023-09-29","Visit","b1c29a78-af71-4567-b690-982de40959db"
"http://www.cdisc.org","Code_20","C51282","2023-09-29","Clinic","0a25d932-9d8d-48d5-a736-c2b2817eea85"
"http://www.cdisc.org","Code_21","C175574","2023-09-29","In Person","a6431144-2b75-44c9-9c62-5b321be2364f"
"http://www.cdisc.org","Code_22","C25716","2023-09-29","Visit","24dcad5f-ca0e-45f3-8211-bfbc13648b05"
"http://www.cdisc.org","Code_23","C51282","2023-09-29","Clinic","512f6540-7065-47ae-9dbe-8024e0b18152"
"http://www.cdisc.org","Code_24","C175574","2023-09-29","In Person","982e5dc3-360c-439e-bdce-261bc9eb9b80"
"http://www.cdisc.org","Code_25","C25716","2023-09-29","Visit","c7176b48-838b-42d6-9aba-ad81aaab77bf"
"http://www.cdisc.org","Code_26","C51282","2023-09-29","Clinic","94bbc5e3-0da7-42f1-9b70-019dac83cfba"
"http://www.cdisc.org","Code_27","C175574","2023-09-29","In Person","3a075491-80e2-47cc-ac4b-d79b12e296e9"
"http://www.cdisc.org","Code_28","C25716","2023-09-29","Visit","7b12f6b1-3621-48e7-99b3-fcfade8f1d11"
"http://www.cdisc.org","Code_29","C18002","2023-09-29","Home","783ece37-9955-4133-ba5a-dfab34db6b83"
"http://www.cdisc.org","Code_30","C171537","2023-09-29","Telephone Call","d0a681ab-07b5-45fe-8fee-fa87db762b67"
"http://www.cdisc.org","Code_72","C20197","2023-09-29","Male","8782ff08-4ec0-4cfe-8979-3ebe61eee125"
"http://www.cdisc.org","Code_73","C16576","2023-09-29","Female","6dabaa6f-c4a1-4e86-89dd-21513259b611"
"http://www.cdisc.org","Code_74","C17998","2023-09-29","Unknown","001dc864-dd91-4fcd-a9a1-06515738aa61"
"NCI Thesaurus","Code_75","C28421","","Sex","d8cf760c-ddf8-4d7c-81b3-c1e0650c3808"
"NCI Thesaurus","Code_71","C28421","","Sex","0583e29c-9d46-4681-9e04-64a9989fd2a7"
"http://www.cdisc.org","Code_77","C17998","2023-09-29","Unknown","6ae8b70a-21a1-4d7e-87d2-f04cbe23dc82"
"NCI Thesaurus","Code_78","C17049","","Race","5ec1df4d-576f-487f-a608-8059986c76f9"
"NCI Thesaurus","Code_76","C17049","","Race","2ed6c184-bd9b-4819-b7fd-74c6f2d41d18"
"NCI Thesaurus","Code_80","C173522","","Vital Signs Result","f27baa18-af45-4396-ad86-02f203d0d622"
"http://www.cdisc.org","Code_81","C28252","2023-09-29","Kilogram","9ee5f2c3-ed77-40eb-974c-044289079b32"
"http://www.cdisc.org","Code_82","C48155","2023-09-29","Gram","43c78ed1-7f53-4903-83a1-af73e2015904"
"http://www.cdisc.org","Code_83","C48531","2023-09-29","Pound","56257c1b-a3fc-4a5e-8a0e-580d73106675"
