"name","id","uuid:ID","dataOriginDescription","label","description"
"Active","StudyArm_1","1e1cfd8b-c94d-49b3-9ba9-1abcf33eddb1","Data collected from subjects","Active Substance","Active Substance"
"Placebo","StudyArm_2","70f36504-3249-4302-a812-e8f3807d019e","Data collected from subjects","Placebo","Placebo"
