"name","uuid:ID","instanceType","isEnabled","isRequired","datatype","id","label"
"DSDECOD","fe07c26f-92a7-402b-8f33-8ff8965b729c","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_116","DSDECOD"
"DSTERM","5e0ffde9-25a4-4fbe-bd8d-f61b2a238979","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_117","DSTERM"
"DSSTDTC","5c317f6a-666a-4a68-b15e-e6ea3d19c694","BiomedicalConceptProperty","True","True","datetime","BiomedicalConceptProperty_118","DSSTDTC"
"Sex","4ea77345-3c62-45c2-bf7a-c7f3d6816e5f","BiomedicalConceptProperty","True","True","string","BiomedicalConceptProperty_119","Sex"
"Race","bf024995-e85f-476f-9d15-ca03116f49ca","BiomedicalConceptProperty","True","True","string","BiomedicalConceptProperty_120","Race"
"VSTESTCD","f6950a1a-e843-4a42-a59f-fc3c5d9a3a41","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_121","VSTESTCD"
"VSORRES","94bee766-73b5-493e-aee3-1bcfd0791f2d","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_122","VSORRES"
"VSORRESU","6a61a89d-ae9e-4be3-b932-7c40e3ec8528","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_123","VSORRESU"
"VSLOC","3737ffd8-65a9-4ffc-acf7-89a6d771a626","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_124","VSLOC"
"VSTESTCD","044caa91-6665-4809-8e09-1dfe7a92b5de","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_125","VSTESTCD"
"VSORRES","c2499417-b25c-4ce4-8896-db833b7d28fb","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_126","VSORRES"
"VSORRESU","1724ba2e-8c8a-418d-a91c-1ae024c1e8bd","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_127","VSORRESU"
"VSTESTCD","e036b317-5c1e-41bc-8947-42d4a9710ee8","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_128","VSTESTCD"
"VSORRES","b42f0c19-a7a6-4e50-accc-668dca2c2b6c","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_129","VSORRES"
"VSORRESU","52c600b0-0ebe-444e-86b0-98cd598a9142","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_130","VSORRESU"
"LBTESTCD","99db92a7-993f-43de-a078-87420c280049","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_131","LBTESTCD"
"LBORRES","b8a9b709-7230-4ab2-81b8-68ca50bee95d","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_132","LBORRES"
"LBORRESU","e4bd0bea-ef38-4864-93a3-a93a489d12fc","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_133","LBORRESU"
"LBSPEC","e2e86c89-b61a-4266-b541-8991e058dbdd","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_134","LBSPEC"
"LBFAST","a86876d0-3a85-4ab7-81c9-f22090f58d45","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_135","LBFAST"
"LBTESTCD","39ab0c62-4bc5-49b0-abcd-657b0f248994","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_136","LBTESTCD"
"LBORRES","994249fa-716f-455b-a73d-2783f630e854","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_137","LBORRES"
"LBSPEC","f82b63c1-c056-47f7-999f-4f19a7036c25","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_138","LBSPEC"
"LBFAST","4b6f2492-8d86-481d-bb60-13f79a9663f2","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_139","LBFAST"
"LBTESTCD","83f1bd22-dfc7-4c9a-8d3d-233d8eacb542","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_140","LBTESTCD"
"LBORRES","92fd9f3e-3ef4-484d-b50e-a8865fab32ea","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_141","LBORRES"
"LBORRESU","48c12d86-b12c-4a31-8123-4b6b61ef3dde","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_142","LBORRESU"
"LBSPEC","1613eaea-f540-482c-8abb-e499409ee65c","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_143","LBSPEC"
"LBFAST","7679d580-ffa4-428a-a68e-63e7d9c5aa5f","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_144","LBFAST"
"LBTESTCD","a820871a-3e68-4737-947c-39c313397dee","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_145","LBTESTCD"
"LBORRES","c13b687c-c5e2-4de1-aaea-169f830be221","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_146","LBORRES"
"LBORRESU","d5fa3136-ca46-4637-bb65-1a49e6e26917","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_147","LBORRESU"
"LBSPEC","9c16593f-e179-48d7-b243-adf1e425a980","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_148","LBSPEC"
"LBFAST","0bc22c3c-6879-444e-a371-bfe45919369a","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_149","LBFAST"
"LBTESTCD","ae109285-d6a4-49fb-a8d1-f55a36f24da6","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_150","LBTESTCD"
"LBORRES","de0c4e52-c9ce-4b64-85b6-abac7b285965","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_151","LBORRES"
"LBORRESU","94360aa4-e22a-4d59-bc39-e065026eb72a","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_152","LBORRESU"
"LBSPEC","f91801c7-cab4-451b-827a-3a79b6476208","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_153","LBSPEC"
"LBFAST","bc241b61-c220-49ca-9e91-a1f1b5b2bbbd","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_154","LBFAST"
"LBTESTCD","81c6dcf6-53eb-450c-90e6-4535ce0170d2","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_155","LBTESTCD"
"LBORRES","2aade00a-051a-4631-be71-03cdf1e7373d","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_156","LBORRES"
"LBORRESU","a90d59cb-41a8-4f39-822a-3e1f5a5db5d3","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_157","LBORRESU"
"LBSPEC","cef05bb6-d7dd-440d-95d6-502b7c964d57","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_158","LBSPEC"
"LBFAST","2d1ae099-b566-4ca6-9ec0-20a9e34782c3","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_159","LBFAST"
"LBTESTCD","38533243-8b9b-43b8-9729-7a01bfe7b467","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_160","LBTESTCD"
"LBORRES","ddf560b8-257e-4d9b-a912-3c1a1e0988d3","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_161","LBORRES"
"LBORRESU","cf6e1522-21e5-4224-95cf-11c0381b4d79","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_162","LBORRESU"
"LBSPEC","a65eb4bf-a977-4c66-9dc5-04a136ab5521","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_163","LBSPEC"
"LBFAST","a7781bf0-87c1-4b79-bdde-a3e2859f6ac6","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_164","LBFAST"
"LBTESTCD","106c4832-f441-4d4a-aecc-a3492eef9cdb","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_165","LBTESTCD"
"LBORRES","16871b59-3a6f-4e4d-8232-0bb9ac7b450c","BiomedicalConceptProperty","True","True","float","BiomedicalConceptProperty_166","LBORRES"
"LBORRESU","f32d6686-3fc4-43b7-900c-960a6351abb5","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_167","LBORRESU"
"LBSPEC","d65fd31b-3b96-431e-839d-66188225d034","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_168","LBSPEC"
"LBFAST","ab61fef1-eef9-40b6-80b9-2c0a9c74c42c","BiomedicalConceptProperty","True","True","","BiomedicalConceptProperty_169","LBFAST"
"AETERM","f2a31398-d51d-4ead-90cd-922fd970a3d2","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_1","AETERM"
"AEDECOD","32ad6cc6-9771-4336-a5ce-315fc1be9c43","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_2","AEDECOD"
"AEPRESP","15d575fe-f12b-4b7c-8c61-53331829060c","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_3","AEPRESP"
"AELOC","ca1c6c77-8f1d-49f4-b22c-2c89ced7412f","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_4","AELOC"
"AESEV","af8d5855-9599-454d-9105-79c9553d6ad3","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_5","AESEV"
"AESER","ca9879d0-5ad2-4291-8abc-13e7c7fa03ea","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_6","AESER"
"AEACN","ca702564-8fc8-4a2a-93d3-b6aac07f8d1a","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_7","AEACN"
"AEACNOTH","77e60f85-7013-42f3-b98e-8032e38d9b5f","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_8","AEACNOTH"
"AEREL","7f41f726-abda-4b7a-ac57-8a95605e53aa","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_9","AEREL"
"AERELNST","8bccdda0-1800-4c14-a5b1-850876c4daaf","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_10","AERELNST"
"AEPATT","00198fe6-b82d-4270-915f-27493d58d0ec","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_11","AEPATT"
"AEOUT","014b73f3-2a64-48c4-9af4-b8aa79ec8135","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_12","AEOUT"
"AESCAN","8ea70a8e-4f6e-4eea-8917-f0f8d8fe8310","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_13","AESCAN"
"AESCONG","d48cfb1e-84b9-4954-841e-a8877ad7345b","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_14","AESCONG"
"AESDISAB","611643aa-0f7d-4c61-92ed-e830b157b0b2","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_15","AESDISAB"
"AESDTH","c1f47ec3-0557-4fa9-89a5-26862af08d7c","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_16","AESDTH"
"AESHOSP","2dc58201-a619-4978-8b0c-48495866e62c","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_17","AESHOSP"
"AESLIFE","e7978e68-a77a-4dba-878a-4385811c157f","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_18","AESLIFE"
"AESOD","92c14190-1672-4421-b8e6-c303c4f2f905","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_19","AESOD"
"AESMIE","e3b035cb-f4a7-4fdb-ad59-ac6abb704adf","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_20","AESMIE"
"AECONTRT","b0fcdb30-451e-4a72-ac1a-f707514fd60e","BiomedicalConceptProperty","True","True","text","BiomedicalConceptProperty_21","AECONTRT"
